ordem;tipo;schema;objeto;banco;obrigatorio;observacao
10;DATABASE;;OneCrawfordDB;OneCrawfordDB;sim;banco principal (em dev aparece como CarolOneCrawfordDB)
11;DATABASE;;LocalizationsDB;LocalizationsDB;sim;traducoes; o backend le na subida
12;DATABASE;;LogDB;LogDB;nao;log da aplicacao; opcional para testar a indexacao
20;SCHEMA;;audit;OneCrawfordDB;condicional;so se mantiver as triggers de auditoria
21;BROKER_PREREQ;;ENABLE_BROKER;OneCrawfordDB;condicional;ALTER DATABASE <banco> SET ENABLE_BROKER
22;BROKER_PREREQ;;TRUSTWORTHY;OneCrawfordDB;condicional;ALTER DATABASE <banco> SET TRUSTWORTHY ON
30;TABLE;dbo;Attachment;OneCrawfordDB;sim;nucleo: 1 linha por arquivo (.msg + anexos)
31;TABLE;dbo;AttachmentClaim;OneCrawfordDB;sim;nucleo: vinculo com o sinistro; ExternalMessageId = idempotencia
32;TABLE;dbo;AttachmentFolder;OneCrawfordDB;sim;nucleo: pasta buscada pelo nome "Indexacao automatica"
33;TABLE;dbo;AttachmentTypeCR;OneCrawfordDB;sim;nucleo: dominio do tipo de anexo
34;TABLE;dbo;Claim;OneCrawfordDB;sim;nucleo: resolucao do sinistro pelo ClaimCode
35;TABLE;dbo;ClaimChronology;OneCrawfordDB;sim;nucleo: recebe LastEmailReceivedDoneDate (card 5)
36;TABLE;dbo;ChronologyFieldActionCR;OneCrawfordDB;sim;nucleo: acao por campo da cronologia
37;TABLE;dbo;Localizations;LocalizationsDB;sim;nucleo: mensagens de validacao
40;TABLE;dbo;ActivityArea;OneCrawfordDB;medio;dashboard Brasil (coluna nova do card 5)
41;TABLE;dbo;BranchOffice;OneCrawfordDB;medio;join na resolucao do sinistro
42;TABLE;dbo;Catastrophe;OneCrawfordDB;medio;join na resolucao do sinistro
43;TABLE;dbo;CauseCR;OneCrawfordDB;medio;join na resolucao do sinistro
44;TABLE;dbo;ClaimBusinessLineCR;OneCrawfordDB;medio;join na resolucao do sinistro
45;TABLE;dbo;ClaimExpedition;OneCrawfordDB;medio;join na resolucao do sinistro
46;TABLE;dbo;ClaimMovement;OneCrawfordDB;medio;join na resolucao do sinistro
47;TABLE;dbo;ClaimRequestDocument;OneCrawfordDB;medio;join na resolucao do sinistro
48;TABLE;dbo;ClaimSituation;OneCrawfordDB;medio;join na resolucao do sinistro
49;TABLE;dbo;ClaimSurvey;OneCrawfordDB;medio;join na resolucao do sinistro
50;TABLE;dbo;ClaimSurveyTypeCR;OneCrawfordDB;medio;join na resolucao do sinistro
51;TABLE;dbo;ClaimTimesheet;OneCrawfordDB;medio;join na resolucao do sinistro
52;TABLE;dbo;ClaimTypeCR;OneCrawfordDB;medio;join na resolucao do sinistro
53;TABLE;dbo;ClaimValue;OneCrawfordDB;medio;join na resolucao do sinistro
54;TABLE;dbo;Coverage;OneCrawfordDB;medio;join na resolucao do sinistro
55;TABLE;dbo;CoverageType;OneCrawfordDB;medio;join na resolucao do sinistro
56;TABLE;dbo;CurrencyTypeCR;OneCrawfordDB;medio;join na resolucao do sinistro
57;TABLE;dbo;MainClientTypeCR;OneCrawfordDB;medio;join na resolucao do sinistro
58;TABLE;dbo;MovementType;OneCrawfordDB;medio;join na resolucao do sinistro
59;TABLE;dbo;Operation;OneCrawfordDB;medio;join na resolucao do sinistro e na permissao
60;TABLE;dbo;ParameterRoot;OneCrawfordDB;medio;join na resolucao do sinistro e na permissao
61;TABLE;dbo;Person;OneCrawfordDB;medio;join na resolucao do sinistro e na permissao
62;TABLE;dbo;PersonContact;OneCrawfordDB;medio;join na resolucao do sinistro e na permissao
63;TABLE;dbo;Product;OneCrawfordDB;medio;join na resolucao do sinistro
64;TABLE;dbo;ReasonClosure;OneCrawfordDB;medio;join na resolucao do sinistro
65;TABLE;dbo;RootX;OneCrawfordDB;medio;join na resolucao do sinistro e na permissao
66;TABLE;dbo;Situation;OneCrawfordDB;medio;join na resolucao do sinistro
67;TABLE;dbo;SituationPhase;OneCrawfordDB;medio;join na resolucao do sinistro
68;TABLE;dbo;SituationTypeCR;OneCrawfordDB;medio;join na resolucao do sinistro
69;TABLE;dbo;Stage;OneCrawfordDB;medio;join na resolucao do sinistro
70;TABLE;dbo;SubClaimDocument;OneCrawfordDB;medio;join na resolucao do sinistro
71;TABLE;dbo;SubOperation;OneCrawfordDB;medio;join na resolucao do sinistro e na permissao
80;TABLE;dbo;UserX;OneCrawfordDB;medio;autenticacao do usuario de servico
81;TABLE;dbo;RoleX;OneCrawfordDB;medio;autenticacao do usuario de servico
82;TABLE;dbo;GroupUser;OneCrawfordDB;medio;permissao
83;TABLE;dbo;GroupUserAccess;OneCrawfordDB;medio;permissao
84;TABLE;dbo;GroupUserPermission;OneCrawfordDB;medio;permissao
90;TABLE;audit;AuditTypeCR;OneCrawfordDB;condicional;so se mantiver as triggers
91;TABLE;audit;ClaimAudit;OneCrawfordDB;condicional;so se mantiver as triggers
92;TABLE;audit;ClaimColumnCategoryCR;OneCrawfordDB;condicional;so se mantiver as triggers
93;TABLE;audit;ClaimWipHistory;OneCrawfordDB;condicional;so se mantiver as triggers
94;TABLE;audit;ErrorLogAudit;OneCrawfordDB;condicional;so se mantiver as triggers
95;TABLE;audit;ParameterMovementAudit;OneCrawfordDB;condicional;so se mantiver as triggers
96;TABLE;audit;ParameterMovementRuleAudit;OneCrawfordDB;condicional;so se mantiver as triggers
100;VIEW;dbo;VW_ClaimValues;OneCrawfordDB;sim;unica view do fluxo (Views/audits/Vw_ClaimValues.sql)
110;MESSAGE_TYPE;;//MessageType/OneCrawford/ClaimAuditMessage;OneCrawfordDB;condicional;service broker das triggers
111;CONTRACT;;//Contract/OneCrawford/ClaimAuditContract;OneCrawfordDB;condicional;service broker das triggers
112;QUEUE;audit;BRSCloudClaimAuditQueue;OneCrawfordDB;condicional;service broker das triggers
113;SERVICE;;//BRSCloudSQLServer/OneCrawford/BRSCloudClaimAuditService;OneCrawfordDB;condicional;service broker das triggers
120;PROCEDURE;audit;PROC_FireAudit;OneCrawfordDB;condicional;so se mantiver as triggers
121;PROCEDURE;audit;Proc_ClaimAudit;OneCrawfordDB;condicional;so se mantiver as triggers
122;PROCEDURE;dbo;PROC_SendMessageBroker;OneCrawfordDB;condicional;so se mantiver as triggers
123;PROCEDURE;dbo;PROC_ParameterMovementFee;OneCrawfordDB;nao;fora do caminho da indexacao
124;PROCEDURE;dbo;PROC_ReprocessClaims;OneCrawfordDB;nao;fora do caminho da indexacao
130;TRIGGER;dbo;tr_AttachmentClaim_Audit_i;OneCrawfordDB;condicional;AFTER INSERT em AttachmentClaim; exige service broker
131;TRIGGER;dbo;tr_Attachment_Audit_u;OneCrawfordDB;condicional;AFTER UPDATE em Attachment; exige service broker
132;TRIGGER;dbo;tr_Claim_Audit_iud;OneCrawfordDB;condicional;AFTER I/U/D em Claim; exige service broker
140;SCRIPT_LTDEV2;;LTDEV-2 ClaimChronology.sql;OneCrawfordDB;sim;cria ClaimChronology.LastEmailReceivedDoneDate
