ordem;tipo;schema;objeto;banco;obrigatorio;observacao
10;DATABASE;;OneCrawfordDB;OneCrawfordDB;sim;LTDEV-2: banco principal (em dev aparece como CarolOneCrawfordDB)
11;DATABASE;;LocalizationsDB;LocalizationsDB;sim;LTDEV-2: traducoes
12;DATABASE;;LogDB;LogDB;nao;LTDEV-2: log da aplicacao
20;SCHEMA;;audit;OneCrawfordDB;condicional;LTDEV-2: so se mantiver as triggers de auditoria
21;BROKER_PREREQ;;ENABLE_BROKER;OneCrawfordDB;condicional;LTDEV-2: ALTER DATABASE <banco> SET ENABLE_BROKER
22;BROKER_PREREQ;;TRUSTWORTHY;OneCrawfordDB;condicional;LTDEV-2: ALTER DATABASE <banco> SET TRUSTWORTHY ON
30;TABLE;dbo;Attachment;OneCrawfordDB;sim;LTDEV-2: nucleo: 1 linha por arquivo (.msg + anexos)
31;TABLE;dbo;AttachmentClaim;OneCrawfordDB;sim;LTDEV-2: nucleo: vinculo com o sinistro
32;TABLE;dbo;AttachmentFolder;OneCrawfordDB;sim;"LTDEV-2: nucleo: pasta buscada pelo nome ""Indexacao automatica"""
33;TABLE;dbo;AttachmentTypeCR;OneCrawfordDB;sim;LTDEV-2: nucleo: dominio do tipo de anexo
34;TABLE;dbo;Claim;OneCrawfordDB;sim;LTDEV-2: nucleo: resolucao do sinistro pelo ClaimCode
35;TABLE;dbo;ClaimChronology;OneCrawfordDB;sim;LTDEV-2: nucleo: recebe LastEmailReceivedDoneDate (card 5)
36;TABLE;dbo;ChronologyFieldActionCR;OneCrawfordDB;sim;LTDEV-2: nucleo: acao por campo da cronologia
37;TABLE;dbo;Localizations;LocalizationsDB;sim;LTDEV-2: nucleo: mensagens de validacao
40;TABLE;dbo;ActivityArea;OneCrawfordDB;medio;LTDEV-2: dashboard Brasil (coluna nova do card 5)
41;TABLE;dbo;BranchOffice;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
42;TABLE;dbo;Catastrophe;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
43;TABLE;dbo;CauseCR;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
44;TABLE;dbo;ClaimBusinessLineCR;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
45;TABLE;dbo;ClaimExpedition;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
46;TABLE;dbo;ClaimMovement;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
47;TABLE;dbo;ClaimRequestDocument;OneCrawfordDB;sim;LTDEV-2: join na resolucao do sinistro | LTDEV-72: essencial para o portal
48;TABLE;dbo;ClaimSituation;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
49;TABLE;dbo;ClaimSurvey;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
50;TABLE;dbo;ClaimSurveyTypeCR;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
51;TABLE;dbo;ClaimTimesheet;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
52;TABLE;dbo;ClaimTypeCR;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
53;TABLE;dbo;ClaimValue;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
54;TABLE;dbo;Coverage;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
55;TABLE;dbo;CoverageType;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
56;TABLE;dbo;CurrencyTypeCR;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
57;TABLE;dbo;MainClientTypeCR;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
58;TABLE;dbo;MovementType;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro
59;TABLE;dbo;Operation;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro e na permissao
60;TABLE;dbo;ParameterRoot;OneCrawfordDB;medio;LTDEV-2: join na resolucao do sinistro e na permissao
